@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
86,'2016/10/31 19:16:39:230',1,0.002344,0.115278,1,1,0
87,'2016/10/31 19:16:39:250',1,0.002344,0.141667,1,1,0
88,'2016/10/31 19:16:39:270',1,0.00625,0.165278,1,1,0
89,'2016/10/31 19:16:39:290',1,0.029687,0.190278,1,1,0
90,'2016/10/31 19:16:39:310',1,0.045313,0.191667,1,1,0
91,'2016/10/31 19:16:39:330',1,0.052344,0.191667,1,1,0
92,'2016/10/31 19:16:39:350',1,0.061719,0.183333,1,1,0
93,'2016/10/31 19:16:39:370',1,0.071875,0.163889,1,1,0
94,'2016/10/31 19:16:39:390',1,0.074219,0.138889,1,1,0
95,'2016/10/31 19:16:39:410',1,0.075,0.066667,1,1,0
96,'2016/10/31 19:16:39:430',1,0.071094,0.045833,1,1,0
97,'2016/10/31 19:16:39:450',1,0.064844,0.023611,1,1,0
98,'2016/10/31 19:16:39:470',1,0.059375,0.011111,1,1,0
99,'2016/10/31 19:16:39:490',1,0.053125,0.002778,1,1,0
100,'2016/10/31 19:16:39:510',1,0.034375,0,1,1,0
101,'2016/10/31 19:16:39:530',1,0.023438,0.006944,1,1,0
102,'2016/10/31 19:16:39:550',1,0.017188,0.015278,1,1,0
103,'2016/10/31 19:16:39:570',1,0.010937,0.027778,1,1,0
104,'2016/10/31 19:16:39:590',1,0.008594,0.043056,1,1,0
105,'2016/10/31 19:16:39:610',1,0.007031,0.066667,1,1,0
106,'2016/10/31 19:16:39:630',1,0.010937,0.111111,1,1,0
107,'2016/10/31 19:16:39:650',1,0.017188,0.127778,1,1,0
108,'2016/10/31 19:16:39:670',1,0.020312,0.133333,1,1,0
109,'2016/10/31 19:16:39:690',1,0.025,0.1375,1,1,0
110,'2016/10/31 19:16:39:710',1,0.028906,0.138889,1,1,0
111,'2016/10/31 19:16:39:730',1,0.03125,0.138889,1,1,0
112,'2016/10/31 19:16:39:750',1,0.03125,0.138889,1,1,0
113,'2016/10/31 19:16:39:770',1,0.03125,0.138889,1,1,0
114,'2016/10/31 19:16:39:790',1,0.03125,0.138889,1,1,0
115,'2016/10/31 19:16:39:810',1,0.03125,0.138889,1,1,0
116,'2016/10/31 19:16:39:830',1,0.03125,0.138889,1,1,0
117,'2016/10/31 19:17:05:616',2,0.039063,0.934722,1,0,1
118,'2016/10/31 19:17:05:636',2,0.039063,0.934722,1,0,1
